"stimuli","lemma","n","percent"
"being_a_pirate","shore",1,100
"being_a_pirate","shot",1,100
"being_a_pirate","side",1,100
"being_a_pirate","signup",1,100
"being_a_pirate","skull",1,100
"being_a_pirate","smoke",1,100
"being_a_pirate","splash",1,100
"being_a_pirate","squid",1,100
"being_a_pirate","sunk",1,100
"being_a_pirate","tendon",1,100
"being_a_pirate","thing",1,100
"being_a_pirate","thought",1,100
"being_a_pirate","tree",1,100
"being_a_pirate","uniform",1,100
"being_a_pirate","vendor",1,100
"being_a_pirate","virus",1,100
"being_a_pirate","water",1,100
"by_the_lake","anchor",1,100
"by_the_lake","background",1,100
"by_the_lake","bark",1,100
"by_the_lake","be",1,100
"by_the_lake","bed",1,100
"by_the_lake","board",1,100
"by_the_lake","boat",1,100
"by_the_lake","building",1,100
"by_the_lake","cabin",1,100
"by_the_lake","car",1,100
"by_the_lake","center",1,100
"by_the_lake","character",1,100
"by_the_lake","danger",1,100
"by_the_lake","day",1,100
"by_the_lake","demonstration",1,100
"by_the_lake","direction",1,100
"by_the_lake","dog",1,100
"by_the_lake","dot",1,100
"by_the_lake","england",1,100
"by_the_lake","excitement",1,100
"by_the_lake","fellow",1,100
"by_the_lake","glove",1,100
"by_the_lake","guitar",1,100
"by_the_lake","hair",1,100
"by_the_lake","hand",1,100
"by_the_lake","hat",1,100
"by_the_lake","hundred",1,100
"by_the_lake","hyper",1,100
"by_the_lake","igloo",1,100
"by_the_lake","jam",1,100
"by_the_lake","jar",1,100
"by_the_lake","lake",1,100
"by_the_lake","log",1,100
"by_the_lake","lot",1,100
"by_the_lake","machine",1,100
"by_the_lake","making",1,100
"by_the_lake","motorboat",1,100
"by_the_lake","mountains",1,100
"by_the_lake","move",1,100
"by_the_lake","name",1,100
"by_the_lake","number",1,100
"by_the_lake","one",1,100
"by_the_lake","paddle",1,100
"by_the_lake","page",1,100
"by_the_lake","paraglide",1,100
"by_the_lake","penguin",1,100
"by_the_lake","people",1,100
"by_the_lake","place",1,100
"by_the_lake","plenty",1,100
"by_the_lake","prayer",1,100
"by_the_lake","pyramid",1,100
"by_the_lake","raft",1,100
"by_the_lake","rescuer",1,100
"by_the_lake","sand",1,100
"by_the_lake","sandcastle",1,100
"by_the_lake","scene",1,100
"by_the_lake","school",1,100
"by_the_lake","segway",1,100
"by_the_lake","side",1,100
"by_the_lake","snow",1,100
"by_the_lake","sport",1,100
"by_the_lake","sunshine",1,100
"by_the_lake","swimming",1,100
"by_the_lake","tales",1,100
"by_the_lake","thing",1,100
"by_the_lake","tier",1,100
"by_the_lake","time",1,100
"by_the_lake","tire",1,100
"by_the_lake","top",1,100
"by_the_lake","volunteer",1,100
"by_the_lake","waist",1,100
"by_the_lake","water",1,100
"by_the_lake","yalta",1,100
"by_the_lake","yappe",1,100
"escape_from_the_zoo","a",1,100
"escape_from_the_zoo","airplane",1,100
