"","lemma","source","agreement","target","stimuli"
"461","stripe",NA,NA,NA,"deep_sea_divers, wanderer"
"462","swordfish","brodeur",83,"swordfish.jpg","deep_sea_divers, wanderer"
"463","actor",NA,NA,NA,"dinosaurs_spacemen_and_ghouls"
"464","alien",NA,NA,NA,"dinosaurs_spacemen_and_ghouls"
"465","astronaut",NA,NA,NA,"dinosaurs_spacemen_and_ghouls"
"466","buffet",NA,NA,NA,"dinosaurs_spacemen_and_ghouls"
"467","cafeteria",NA,NA,NA,"dinosaurs_spacemen_and_ghouls"
"468","camera","boss",82,"camera01a.jpg","dinosaurs_spacemen_and_ghouls"
"469","caveman",NA,NA,NA,"dinosaurs_spacemen_and_ghouls, picture_this"
"470","corner",NA,NA,NA,"dinosaurs_spacemen_and_ghouls, flowerman, journey, picture_this, wanderer"
"471","cream",NA,NA,NA,"dinosaurs_spacemen_and_ghouls, escape_from_the_zoo, flowerman"
"472","crew",NA,NA,NA,"dinosaurs_spacemen_and_ghouls"
"473","dinosaur",NA,NA,NA,"dinosaurs_spacemen_and_ghouls"
"474","dressing",NA,NA,NA,"dinosaurs_spacemen_and_ghouls"
"475","film",NA,NA,NA,"dinosaurs_spacemen_and_ghouls"
"476","ghoul",NA,NA,NA,"dinosaurs_spacemen_and_ghouls"
"477","ice",NA,NA,NA,"dinosaurs_spacemen_and_ghouls, escape_from_the_zoo, flowerman, wanderer"
"478","makeup",NA,NA,NA,"dinosaurs_spacemen_and_ghouls"
"479","movie",NA,NA,NA,"dinosaurs_spacemen_and_ghouls, wild_west"
"480","mummy","brodeur",86,"mummy.jpg","dinosaurs_spacemen_and_ghouls"
"481","pie","moreno-martinez",73,"pie.jpg","dinosaurs_spacemen_and_ghouls"
"482","set",NA,NA,NA,"dinosaurs_spacemen_and_ghouls, quest, return"
"483","space",NA,NA,NA,"dinosaurs_spacemen_and_ghouls"
"484","spaceman",NA,NA,NA,"dinosaurs_spacemen_and_ghouls"
"485","stage",NA,NA,NA,"dinosaurs_spacemen_and_ghouls"
"486","star",NA,NA,NA,"dinosaurs_spacemen_and_ghouls, journey, wanderer"
"487","volcano","moreno-martinez",99,"volcano.jpg","dinosaurs_spacemen_and_ghouls"
"488","anteater",NA,NA,NA,"escape_from_the_zoo"
"489","antelope",NA,NA,NA,"escape_from_the_zoo"
"490","bear","DR2",100,"bear_02_og.jpg","escape_from_the_zoo, picture_this"
"491","cafe",NA,NA,NA,"escape_from_the_zoo, flowerman"
"492","crebe",NA,NA,NA,"escape_from_the_zoo"
"493","enclosure",NA,NA,NA,"escape_from_the_zoo"
"494","escape",NA,NA,NA,"escape_from_the_zoo"
"495","exhibit",NA,NA,NA,"escape_from_the_zoo, exhibit_12"
"496","flamingo","brodeur",87,"flamingo.jpg","escape_from_the_zoo"
"497","giraffe","brodeur, DR2",100,"giraffe.jpg","escape_from_the_zoo, escape_from_the_zoo"
"498","giraffe","brodeur, DR2",100,"giraffe_01_og.jpg","escape_from_the_zoo, escape_from_the_zoo"
"499","gorilla","DR2",85.7,"gorilla_01_og.jpg","escape_from_the_zoo"
"500","hippo",NA,NA,NA,"escape_from_the_zoo"
"501","hippopotamus","moreno-martinez",82,"hippopotamus.jpg","escape_from_the_zoo, picture_this"
"502","kangaroo","DR2",98.5507246,"kangaroo_02_og.jpg","escape_from_the_zoo"
"503","lemur",NA,NA,NA,"escape_from_the_zoo"
"504","monkey","brodeur",73,"proboscismonkey.jpg","escape_from_the_zoo"
"505","parrot","DR2",78.6,"parrot_02_og.jpg","escape_from_the_zoo"
"506","peacock","DR2",100,"peacock_01_og.jpg","escape_from_the_zoo"
"507","rhinocero",NA,NA,NA,"escape_from_the_zoo, quest"
"508","right",NA,NA,NA,"escape_from_the_zoo, flowerman, journey, quest, wanderer"
"509","zebras",NA,NA,NA,"escape_from_the_zoo"
"510","zoo",NA,NA,NA,"escape_from_the_zoo"
"511","zookeeper",NA,NA,NA,"escape_from_the_zoo"
"512","art",NA,NA,NA,"exhibit_12"
"513","exhibition",NA,NA,NA,"exhibit_12"
"514","gallery",NA,NA,NA,"exhibit_12"
"515","king",NA,NA,NA,"exhibit_12, quest, return"
"516","level","boss",74,"level03a.jpg","exhibit_12, journey"
"517","museum",NA,NA,NA,"exhibit_12"
"518","painting","brodeur",71,"painting.jpg","exhibit_12, flowerman"
"519","portrait",NA,NA,NA,"exhibit_12, picture_this"
"520","scaffolding",NA,NA,NA,"exhibit_12"
"521","staircase",NA,NA,NA,"exhibit_12"
"522","activity",NA,NA,NA,"flowerman"
"523","anchor","brodeur",93,"anchor.jpg","flowerman, wanderer"
"524","apartment",NA,NA,NA,"flowerman, journey, return"
"525","artist",NA,NA,NA,"flowerman"
"526","awning",NA,NA,NA,"flowerman, waldo_1"
"527","bait",NA,NA,NA,"flowerman"
"528","balcony","DR2",85.7142857,"balcony_01_og.jpg","flowerman"
"529","bar",NA,NA,NA,"flowerman"
"530","bath",NA,NA,NA,"flowerman"
"531","brick","boss",100,"brick.jpg","flowerman, wanderer"
"532","cast",NA,NA,NA,"flowerman"
"533","character",NA,NA,NA,"flowerman, picture_this, wanderer"
"534","cloud","brodeur",95,"cloud.jpg","flowerman, journey, wanderer"
"535","cobblestone",NA,NA,NA,"flowerman"
"536","curtain","brodeur",86,"curtain.jpg","flowerman"
"537","dancing",NA,NA,NA,"flowerman"
"538","daytime",NA,NA,NA,"flowerman"
"539","delivery",NA,NA,NA,"flowerman"
"540","ditch",NA,NA,NA,"flowerman"
"541","dress","DR2",95.4545455,"dress02_og.jpg","flowerman"
"542","evening",NA,NA,NA,"flowerman"
"543","ferris",NA,NA,NA,"flowerman"
"544","fountain","DR2",100,"fountain_01_og.jpg","flowerman, waldo_1"
"545","gas",NA,NA,NA,"flowerman, waldo_1"
"546","grass",NA,NA,NA,"flowerman"
"547","hair",NA,NA,NA,"flowerman, picture_this"
"548","home",NA,NA,NA,"flowerman"
"549","hydrant",NA,NA,NA,"flowerman, journey"
"550","lawn",NA,NA,NA,"flowerman"
"551","leg",NA,NA,NA,"flowerman, picture_this, quest, wanderer"
"552","life",NA,NA,NA,"flowerman, make_a_splash, return, wanderer"
"553","milkman",NA,NA,NA,"flowerman"
"554","motorcycle","DR2",98.4,"motorcycle_02_og.jpg","flowerman, waldo_1"
"555","mover",NA,NA,NA,"flowerman"
"556","mower",NA,NA,NA,"flowerman"
"557","neighbor",NA,NA,NA,"flowerman"
"558","neighborhood",NA,NA,NA,"flowerman"
"559","night",NA,NA,NA,"flowerman, journey, return, wanderer"
"560","palette",NA,NA,NA,"flowerman"
"561","pipe","brodeur",83,"pipe.jpg","flowerman, return, wanderer"
"562","purple",NA,NA,NA,"flowerman, journey, quest, return"
"563","rest",NA,NA,NA,"flowerman, wanderer"
"564","road","DR2",85.7142857,"road_02_og.jpg","flowerman"
"565","roof","DR2",90.9,"roof_02_og.jpg","flowerman, quest, unfriendly_giants, waldo_1, wanderer, wild_west"
"566","rooftop",NA,NA,NA,"flowerman"
"567","sale",NA,NA,NA,"flowerman"
"568","scooter","brodeur",90,"scooter.jpg","flowerman, journey"
"569","shaker",NA,NA,NA,"flowerman"
"570","shutter",NA,NA,NA,"flowerman"
"571","skirt","moreno-martinez",99,"skirt.jpg","flowerman"
"572","stone",NA,NA,NA,"flowerman, quest"
"573","telescope","DR2",100,"telescope_01_og.jpg","flowerman"
"574","tie","DR2",100,"tie_02_og.jpg","flowerman"
"575","towel",NA,NA,NA,"flowerman"
"576","view",NA,NA,NA,"flowerman, wanderer"
"577","village",NA,NA,NA,"flowerman, unfriendly_giants"
"578","walk",NA,NA,NA,"flowerman"
"579","wheel","boss",82,"wheel01.jpg","flowerman, journey, quest, wanderer"
"580","wheelchair","DR2",98.1,"wheelchair_01_og.jpg","flowerman"
"581","yard",NA,NA,NA,"flowerman"
"582","attention",NA,NA,NA,"journey"
"583","base",NA,NA,NA,"journey"
"584","bedroom",NA,NA,NA,"journey, return"
"585","bicycle","DR2",94.9152542,"bicycle_02_og.jpg","journey, quest, waldo_1"
"586","cage",NA,NA,NA,"journey, quest, return"
